,Soil volumetric water content:,Soil el. conductivity:,Soil Oxygen:,PAR:,Shortwave irradiance:,Mean solar irradiance:,Precipitation since last meas.:,Lightnings since last measurement:,Gust wind speed:,Wind direction (rel. to N):,Average air temp.:,Vapour pressure:,Atmospheric pressure:,Vapour pressure deficit:,Rel. air humidity:,Station X axis orientation:,Leaf humidity:,Soil pH:,Soil humidity NPK:,Soil temp. NPK:,Soil el. conductivity NPK:,Soil Potassium:,Location(lat long alt):,Soil temp. 10cm:,Soil temp 50cm:,Soil temp 80cm:,Surface temp. object:,Air temp.:,Air humidity:,CO2 in air:,Light intensity:,Soil humidity1:,Soil humidity2:,Raindrops2:,Raindrops3:,Spectr. Violet:,Spectr. Blue:,Spectr. Green:,Spectr. Orange:,Spectr. Red:
23,0.087,9.0,22.79875,838.6815,561.84425,683.75,0.0,0.0,4.14,279.7666667,28.36666667,1.996666667,101.17,1.845666667,52.23466667,-0.6,0.946,6.465,0.0,27.03333333,16.55,27.0,44.176,23.61466667,23.79725,23.375,28.16,29.73316667,49.60566667,0.0,0.0,0.0,47.4,0.0,0.0,65535.0,62859.0,65535.0,65535.0,47110.0
25,0.087,9.0,22.579,863.4863333,438.9594,564.6666667,0.0,0.0,3.685,61.8,28.12,2.08,101.155,1.7488,54.0145,-0.533333333,1.135,6.466666667,0.0,28.1,16.22525,26.4002,44.176,23.73475,23.771,23.313,28.32,30.25233333,47.673,0.0,0.0,0.0,48.0,0.0,0.0,65535.0,58383.0,65535.0,65535.0,41246.33333
26,0.087,9.1665,22.4535,788.3978,213.642,317.0,0.0,0.0,3.7925,88.25,28.48333333,2.092,101.116,1.808666667,53.97525,-0.7,1.135,6.472,0.0,28.5,16.50825,27.0666,44.176,23.8378,23.75,23.271,28.635,30.02966667,50.0234,0.0,3429.0,0.0,48.0,0.0,0.0,65535.0,60291.2,65535.0,65535.0,42634.0
27,0.087,9.333333333,22.22525,738.575,281.3826667,302.2,0.0,0.0,3.9325,84.125,28.68,2.086666667,101.092,1.833166667,52.935,-0.55,1.081,6.475,0.0,28.475,16.26,26.44433333,44.176,23.9376,23.7376,23.25,29.45,30.92666667,49.777,0.0,3453.0,0.0,48.0,0.0,0.0,65535.0,59858.0,65535.0,65535.0,40816.75
28,0.087,9.333,22.13733333,465.8288,75.87133333,263.75,0.0,0.0,3.038,83.475,28.91666667,2.066666667,101.088,1.8982,51.99516667,-0.633333333,1.1485,6.472,0.0,27.68333333,15.43333333,25.333,44.176,24.11483333,23.7128,23.25,31.29666667,31.103,48.234,0.0,5667.333333,0.0,48.0,0.0,0.0,65535.0,62950.75,65535.0,65535.0,49453.5
30,0.087,9.8335,22.37966667,56.361,54.38,35.0,0.0,0.0,3.84,175.0833333,27.45,2.116,101.105,1.507666667,60.1558,-0.65,2.567333333,6.733,0.0,25.05,14.4,23.33333333,44.176,24.43783333,23.688,23.313,27.494,28.525,56.1775,0.0,3170.333333,0.0,48.0,0.0,0.0,65535.0,54890.4,65535.0,65535.0,40120.0
31,0.087,9.5835,22.4846,3.663666667,15.1224,6.0,0.0,0.0,0.956,110.1,25.325,2.136,101.1183333,1.15725,67.3755,-0.633333333,2.883,6.895,0.0,23.78333333,13.933,23.0,44.176,24.62533333,23.688,23.344,26.01,27.142,62.8058,0.0,190.0,0.0,48.0,1.8,0.0,65535.0,61398.6,65535.0,65535.0,51926.5
32,0.087,9.555666667,22.62766667,0.13575,0.0045,0.0,0.0,0.0,1.0375,208.3166667,24.05,2.146666667,101.16,0.8456,70.09133333,-0.633333333,1.622,6.82,0.0,22.28,13.45,22.0,44.176,24.70866667,23.688,23.4065,24.235,25.61833333,69.67666667,0.0,1.0,0.0,49.5,0.8,0.0,65535.0,65535.0,65535.0,65535.0,55940.0
34,0.087,9.222333333,22.839,0.0,0.0,0.0,0.0,0.0,0.631666667,145.35,21.42,2.054,101.1833333,0.509,79.8764,-0.533333333,2.216,6.446666667,0.0,20.35,12.40825,20.1665,44.176,24.813,23.688,23.5,20.78,21.87175,83.66166667,0.0,1.0,0.0,48.83333333,3.5,0.0,65535.0,64087.5,65535.0,65535.0,55101.4
35,0.087166667,8.8335,22.90683333,0.0132,0.0,0.0,0.0,0.0,0.8125,303.9,20.62,2.0375,101.17,0.3875,84.39875,-0.56,4.865,6.4406,0.0,19.45,12.0585,19.8666,44.176,24.813,23.75,23.563,19.738,20.4852,87.44466667,0.0,1.0,0.0,49.0,4.4,0.0,65535.0,61508.8,65535.0,65535.0,53808.4
36,0.087,9.33325,22.9815,0.0088,0.0,0.0,0.0,0.0,1.528333333,283.72,20.6,2.0275,101.142,0.40125,83.4376,-0.4,4.324333333,6.431666667,0.0,18.75,11.7934,19.0,44.176,24.7815,23.7605,23.625,19.166,19.85625,90.521,0.0,1.0,0.0,48.75,5.5,0.0,65535.0,59399.0,65535.0,65535.0,52838.2
37,0.087,9.444333333,23.01425,0.032333333,0.0,0.0,0.0,0.0,1.066666667,286.8,20.34,1.965,101.124,0.40875,83.4618,-0.52,5.473,6.423333333,0.0,18.175,11.5335,19.0,44.176,24.7035,23.771,23.6376,19.32333333,19.86016667,90.02525,0.0,1.0,0.0,48.83333333,3.4,0.0,65535.0,58871.0,65535.0,65535.0,52468.0
38,0.087,9.333,23.049,0.01225,0.0,0.0,0.0,0.0,1.588,274.3,20.45,1.902,101.11,0.5082,78.9022,-0.55,2.3784,6.42075,0.0,17.78,11.37766667,18.44466667,44.176,24.6502,23.8004,23.688,18.99666667,19.3408,91.03866667,0.0,1.0,0.0,49.0,3.5,0.0,65535.0,55996.5,65535.0,65535.0,50773.5
40,0.08725,9.417,23.116,2.0596,0.375,0.0,0.0,0.0,1.03,298.82,19.175,1.86,101.09,0.35975,84.10083333,-0.5,4.594666667,6.43,0.0,16.75,11.00533333,18.0,44.176,24.5,23.875,23.688,17.985,18.6614,89.21466667,0.0,1.333333333,0.0,49.0,2.75,0.0,65535.0,53410.0,65535.0,65535.0,48953.25
41,0.087,8.6668,23.15725,132.7415,43.05,25.0,0.0,0.0,1.13,269.45,19.3,1.845,101.1,0.366,83.674,-0.45,3.874,6.423333333,0.0,16.52,10.84,18.0,44.176,24.375,23.875,23.688,17.774,18.25266667,92.0772,0.0,147.75,0.0,49.25,3.0,0.0,65535.0,52605.8,65535.0,65535.0,48533.0
42,0.087,8.778,23.191,241.7435,164.48425,179.75,0.0,0.0,2.071666667,262.6,21.975,2.035,101.09,0.5205,79.413,-0.48,1.62175,6.4146,0.0,18.31666667,11.34433333,18.66666667,44.176,24.25,23.875,23.688,18.36,17.96225,92.348,0.0,1811.0,0.0,49.0,3.4,0.0,65535.0,52280.0,65535.0,65535.0,47755.6
43,0.087,9.2668,23.1812,198.9473333,390.0156667,371.5,0.0,0.0,2.815,288.65,23.74,2.1325,101.08,0.8162,72.1174,-0.6,1.189,6.416666667,0.0,22.46666667,12.08866667,19.5,44.176,24.1628,23.875,23.688,21.234,22.0005,78.88625,0.0,0.0,0.0,49.6,0.0,0.0,65535.0,53888.83333,65535.0,65535.0,50561.0
44,0.087,9.0,23.118,853.956,600.5856667,562.25,0.0,0.0,4.52,304.4666667,26.84,2.145,101.066,1.34575,64.41233333,-0.62,1.081,6.425,0.0,25.425,13.25825,21.6,44.176,24.05233333,23.875,23.625,24.178,25.08466667,69.88,0.0,0.0,0.0,48.33333333,0.0,0.0,65535.0,44187.8,65535.0,65535.0,48181.0
45,0.0875,9.1665,22.998,1542.75,588.7215,711.75,0.0,0.0,4.2925,174.7,28.1,2.003333333,101.0725,1.8055,52.551,-0.7,0.901,6.44,0.3732,25.4,13.72233333,22.22233333,44.176,23.938,23.875,23.625,27.475,28.30233333,58.222,0.0,0.0,0.0,48.4,0.0,0.0,65535.0,60496.75,65535.0,65535.0,49987.6
46,0.0875,9.111333333,22.719,1796.4032,560.99225,797.2,0.0,0.0,3.7575,40.65,28.62,2.018,101.0625,1.913,51.4755,-0.583333333,0.811,6.4675,2.2,30.01666667,14.6665,24.33333333,44.176,23.875,23.875,23.563,28.614,30.77175,46.6918,0.0,0.0,0.0,49.0,0.0,0.0,65535.0,49079.66667,65535.0,65535.0,45151.75
47,0.087,9.5,22.577,2090.276,907.42675,873.0,0.0,0.0,5.436666667,70.16666667,28.925,2.125,101.0425,1.84575,53.25733333,-0.533333333,0.8785,6.473333333,0.0,28.425,14.4,23.75,44.176,23.875,23.875,23.542,29.34,31.601,45.5206,0.0,0.0,0.0,48.66666667,0.0,0.0,65535.0,50370.8,65535.0,65535.0,40225.0
51,0.087,10.1665,21.498,1315.78,405.0726,363.3333333,0.0,0.0,3.703333333,90.44,30.0,2.046666667,100.956,2.259333333,47.84883333,-0.6,1.081,6.51675,1.622166667,33.56,15.09175,25.0,44.176,24.3002,23.813,23.438,37.84,36.35,37.73066667,0.0,4092.0,0.0,49.0,0.0,0.0,64261.75,52852.8,65535.0,65535.0,39739.0
53,0.0876,10.8335,21.784,514.238,64.34566667,214.25,0.0,0.0,4.02,119.62,29.8,2.05,100.894,2.182333333,48.929,-0.6,1.081,6.84,0.0,28.66,12.90825,21.08325,44.176,24.8285,23.771,23.469,30.42333333,33.4835,41.8065,0.0,7862.75,0.0,48.8,0.0,0.0,64461.33333,55446.5,65535.0,65535.0,65535.0
54,0.0875,11.1665,21.9465,120.3052,33.85566667,72.0,0.0,0.0,3.2675,124.775,28.95,2.0,100.9033333,1.9755,50.992,-0.56,1.297,6.86,0.0,27.475,12.23366667,20.0835,44.176,25.125,23.75,23.5126,29.955,31.40716667,46.669,0.0,3679.25,0.0,49.0,0.0,0.0,64514.5,46180.66667,65535.0,65535.0,38907.33333
55,0.08775,10.8335,22.187,11.3845,2.313666667,8.25,0.0,0.0,2.794,124.225,27.4,2.004,100.945,1.528,54.88725,-0.5,1.216,6.5,0.0,25.675,11.56666667,19.0,44.176,25.3125,23.771,23.563,28.062,29.43633333,51.19375,0.0,741.0,0.0,49.0,0.0,0.0,63551.75,43367.0,65535.0,65535.0,37209.33333
58,0.088,10.5835,22.638,0.0905,0.0,0.0,0.0,0.0,0.784,159.7333333,23.35,2.033333333,100.9533333,0.85725,70.4408,-0.583333333,1.4865,6.481666667,0.0,21.6,10.36675,17.0,44.176,25.625,23.8378,23.7815,22.382,23.872,72.28266667,0.0,1.0,0.0,49.4,0.0,0.0,60480.6,40404.0,65535.0,65535.0,35546.33333
59,0.088,10.4165,22.688,0.11775,0.0,0.0,0.0,0.0,1.126,281.75,23.06666667,1.97,100.92,0.864666667,70.40225,-0.516666667,1.622,6.4775,0.0,21.05,10.175,16.5998,44.176,25.625,23.875,23.875,21.49,22.49166667,76.54125,0.0,1.0,0.0,49.5,0.0,0.0,59064.0,39763.8,65535.0,65535.0,34728.83333
62,0.088,9.58325,22.85675,0.007,0.0,0.0,0.0,0.0,0.684,308.325,20.36666667,1.94,100.854,0.4506,81.197,-0.525,3.7838,6.46,0.0,18.95,9.455666667,15.2,44.176,25.42733333,24.0,24.063,19.3,20.012,84.441,0.0,1.0,0.0,49.75,1.5,0.0,57555.25,39373.2,65535.0,65535.0,33976.25
63,0.087833333,9.667,22.90525,0.030666667,0.0005,0.0,0.0,0.0,0.62,297.2,19.46,1.93,100.862,0.36025,85.0638,-0.5,5.811,6.456,0.0,18.375,9.40025,15.0,44.176,25.33366667,24.04725,24.10433333,18.665,19.1675,88.85783333,0.0,1.0,0.0,50.0,2.666666667,0.0,56717.0,38946.75,65535.0,65535.0,33464.8
64,0.088,9.6,22.94375,0.803333333,0.179666667,0.0,0.0,0.0,0.81,291.18,19.3,1.9075,100.85,0.314333333,85.52966667,-0.5,8.4685,6.4526,0.0,17.9,9.24,15.0,44.176,25.25,24.063,24.125,18.05,18.7206,91.034,0.0,4.833333333,0.0,50.0,4.75,0.0,55607.0,38396.0,65535.0,65535.0,32914.2
65,0.088,10.16675,23.0085,73.55966667,43.5906,16.2,0.0,0.0,0.9175,261.2,18.98,1.912,100.88,0.282,86.99233333,-0.55,10.6488,6.455666667,0.0,17.56,9.20825,15.0,44.176,25.1128,24.0785,24.125,17.742,18.29,92.7274,0.0,130.0,0.0,49.75,4.666666667,0.0,54672.0,37865.4,53535.0,65535.0,32420.25
66,0.088,9.0,23.04675,265.2341667,189.9816667,124.3333333,0.0,0.0,1.436,262.68,21.55,2.125,100.886,0.463666667,81.63375,-0.5,3.874,6.435,0.0,19.2,9.433333333,15.16666667,44.176,24.9535,24.1126,24.125,18.378,18.24275,93.55766667,0.0,2619.25,0.0,50.0,3.6,0.0,54425.83333,37773.0,65535.0,65535.0,32219.4
67,0.088,9.333333333,23.0055,264.2138,409.975,353.3333333,0.0,0.0,3.2725,95.66,24.83333333,2.516666667,100.866,0.548,82.17,-0.45,1.351,6.433333333,0.0,23.6,10.2335,16.1665,44.176,24.86483333,24.125,24.125,22.11,22.7328,79.44766667,0.0,0.0,0.4,49.0,0.0,0.0,54646.2,38709.5,65535.0,65535.0,32578.0
68,0.087666667,9.555666667,22.901,782.26025,448.7606,448.75,0.0,0.0,4.01,55.8,26.36666667,2.566666667,100.872,0.943666667,73.5125,-0.55,1.351,6.906,0.0,25.46,10.95025,18.0,44.176,24.73983333,24.125,24.08366667,25.62,26.91466667,77.54925,0.0,0.0,0.0,49.0,0.0,0.0,50781.66667,35406.2,65535.0,65535.0,30357.5
70,0.087833333,9.666666667,22.5922,1099.713333,553.12375,635.5,0.0,0.0,4.503333333,65.225,27.775,2.336,100.88,1.2885,63.44975,-0.475,1.135,6.47,0.0,27.31666667,11.4266,18.7334,44.176,24.54725,24.125,24.0105,27.27666667,29.1275,60.45975,0.0,0.0,0.0,49.0,0.0,0.0,46844.33333,33314.0,65535.0,65535.0,28914.0
71,0.0878,10.0,22.4875,725.165,272.7361667,304.75,0.0,0.0,3.573333333,59.225,27.72,2.166666667,100.894,1.5435,58.40875,-0.575,1.081,6.478,0.0,27.24,11.48325,18.6665,44.176,24.563,24.1565,23.9845,28.30333333,30.0844,54.94,0.0,0.0,0.0,49.0,0.0,0.0,47365.83333,34006.4,65535.0,65535.0,28841.5
72,0.0878,10.1665,22.364,1017.022,416.5402,525.6666667,0.0,0.0,4.65,67.9,28.3,2.118,100.884,1.688,56.336,-0.6,1.171,6.473333333,0.0,26.95,11.1915,18.08325,44.176,24.563,24.125,23.938,27.505,29.90333333,53.95225,0.0,0.0,0.0,49.16666667,0.0,0.0,45800.33333,32970.0,65535.0,65535.0,28107.6
73,0.08775,10.2,22.2885,1651.392667,589.35625,678.0,0.0,0.0,5.314,74.34,28.8,2.161666667,100.858,1.80225,54.774,-0.6,1.081,6.4775,0.0,29.6,11.4915,18.6665,44.176,24.64075,24.125,23.92225,28.15666667,28.941,52.649,0.0,0.0,0.0,49.0,0.0,0.0,46582.75,33920.6,65535.0,65535.0,28648.33333
74,0.0876,10.1665,22.1092,383.4025,165.856,180.8,0.0085,0.0,2.9025,36.43333333,25.86,2.378,100.894,0.7975,70.645,-0.6,27.16216667,6.505,0.0,26.44,11.0835,18.1334,44.176,24.7128,24.125,23.875,30.21,31.705,48.42433333,0.0,7333.25,0.0,49.0,0.0,18.5,47054.0,33964.6,65535.0,65535.0,29321.4
77,0.088,10.1665,22.37266667,284.7138,37.689,125.3333333,0.0,0.0,1.385,53.6,25.95,2.416,100.78,0.98,71.98766667,-0.55,17.4054,6.784333333,0.0,24.53333333,9.9835,16.25,44.176,25.06275,24.125,23.875,24.49666667,25.4248,80.1576,0.0,9257.75,0.0,49.66666667,2.6,0.0,43541.6,32515.33333,65535.0,65535.0,25262.0
78,0.088,10.111,22.4218,107.0792,33.219,34.5,0.0,0.0,0.7,195.62,25.45,2.354,100.7833333,0.891333333,73.00625,-0.583333333,13.31075,6.80425,0.0,23.62,9.833,16.0,44.176,25.17225,24.125,23.938,25.23666667,26.6354,72.84583333,0.0,3996.5,0.666666667,50.8,0.5,0.0,44837.8,31995.33333,65535.0,65535.0,36702.0
79,0.088,10.2668,22.5206,19.18725,6.6642,8.6,0.0,0.0,0.422,314.275,24.14,2.388333333,100.7933333,0.5954,77.48475,-0.56,13.784,6.688,0.0,22.56666667,9.49975,15.25,44.176,25.22933333,24.125,23.938,24.425,25.09233333,78.80025,0.0,625.0,0.0,49.0,1.0,0.0,40619.8,27170.0,65235.0,64913.5,23757.5
80,0.0878,10.0,22.63333333,0.022,0.001333333,0.0,0.0,0.0,0.478,256.2,22.65,2.2725,100.81,0.426,84.4605,-0.5,17.29733333,6.535,0.0,21.175,9.099666667,14.8666,44.176,25.2626,24.125,24.0,22.055,23.3158,86.6482,0.0,34.0,0.0,51.0,7.0,0.0,39215.5,25472.33333,63841.33333,62229.0,22775.4
82,0.088,9.777666667,22.7785,0.01975,0.0,0.0,0.0,0.0,1.175,274.54,20.96666667,2.226666667,100.84,0.2705,89.54933333,-0.6,24.68466667,6.47075,0.0,19.55,8.6,14.0,44.176,25.25,24.125,24.063,19.854,20.624,93.5592,0.0,34.0,0.0,50.0,11.33333333,0.0,37912.2,24219.0,61196.0,59993.0,22344.2
84,0.088,10.0,22.88825,0.00425,0.0,0.0,0.0,0.0,0.73,255.1333333,20.03333333,2.16,100.835,0.154,92.801,-0.475,35.5405,6.468,0.0,18.4,8.2732,13.0,44.176,25.125,24.188,24.10433333,19.385,20.0246,97.00175,0.0,34.0,0.0,50.0,12.8,0.8,37151.4,23292.6,57162.0,58630.0,21926.0
85,0.08775,9.91675,22.923,0.0555,0.0,0.0,0.0,0.0,1.57,260.5333333,20.0,2.19,100.8266667,0.13825,94.0215,-0.54,38.6488,6.47,0.0,18.18,8.211333333,13.0,44.176,25.0315,24.188,24.125,18.73666667,19.31625,98.03825,0.0,34.0,0.0,49.8,11.75,0.333333333,35884.5,22622.25,56304.0,56967.0,20986.0
86,0.088,9.555666667,22.9465,0.007,0.0,0.0,0.0,0.0,1.4,264.04,19.85,2.194,100.8033333,0.13925,94.31316667,-0.5,42.0945,6.4675,0.0,17.82,8.09175,13.0,44.176,24.9752,24.188,24.125,19.005,19.4305,99.3585,0.0,34.0,0.0,50.0,10.0,0.0,36759.0,22541.4,55688.25,57622.25,21430.0
87,0.087833333,9.5,22.97233333,0.0088,0.0,0.0,0.0,0.0,1.425,253.34,19.75,2.17,100.8,0.128,94.1486,-0.466666667,45.7838,6.4675,0.0,17.56666667,8.005666667,13.0,44.176,24.86466667,24.2004,24.125,19.01666667,19.31325,100.097,0.0,34.0,0.0,50.0,9.0,0.0,35915.5,22108.0,54010.4,56885.0,21334.33333
88,0.088,9.5,22.99675,1.63,1.019,0.333333333,0.0,0.0,1.538,276.5333333,19.81666667,2.14,100.784,0.188,91.3995,-0.566666667,48.10825,6.46,0.0,17.275,7.933333333,13.0,44.176,24.7376,24.219,24.063,18.798,19.1878,100.43975,0.0,27.75,0.0,50.33333333,9.0,0.0,35563.66667,21716.5,52627.5,55596.0,20971.5
89,0.0878,9.41675,23.0325,124.171,52.18283333,27.75,0.0,0.0,1.954,278.36,19.975,2.078333333,100.8,0.2435,89.16025,-0.5,48.6486,6.46,0.0,17.2,7.977666667,13.0,44.176,24.6626,24.20866667,24.063,18.835,19.13383333,99.6905,0.0,118.8,0.0,50.0,7.4,0.0,35006.2,21356.25,53593.66667,54898.0,20708.4
91,0.088,9.0,23.002,237.3038,396.6396,358.5,0.0,0.0,4.882,103.375,24.5,2.598,100.816,0.51575,85.4095,-0.625,6.108,6.5115,0.0,22.15,8.86675,14.0,44.176,24.43775,24.2035,24.0,21.71,21.571,87.9276,0.0,0.0,0.4,51.0,0.5,0.0,37036.33333,24072.83333,54559.5,57718.25,22179.2
92,0.088,9.7332,22.933,1006.455667,539.06275,575.6666667,0.0,0.0,5.382,29.66,26.26666667,2.583333333,100.85,0.8405,75.5092,-0.566666667,1.351,6.5275,0.0,24.96666667,9.544666667,15.8335,44.176,24.3252,24.188,23.9628,24.565,25.8094,81.67433333,0.0,0.0,0.0,49.75,0.0,0.0,39155.33333,23823.75,60698.0,58425.4,21865.0
93,0.088,9.58325,22.802,1560.8475,656.493,694.8333333,0.0,0.0,5.495,39.6,27.85,2.468,100.865,1.27075,66.0888,-0.54,1.081,6.44675,0.0,26.53333333,9.666666667,16.111,44.176,24.22933333,24.188,23.917,26.854,28.39325,71.18125,0.0,0.0,0.0,49.83333333,0.0,0.0,37858.66667,26051.5,65267.5,59274.25,22903.2
95,0.0875,9.75,22.4044,1947.4225,794.7676667,895.0,0.0,0.0,7.013333333,59.675,30.83333333,2.044,100.9025,2.31175,46.1765,-0.833333333,1.0135,6.46,0.0,28.075,10.18325,16.8335,44.176,24.188,24.1565,23.8254,30.09,31.248,48.02466667,0.0,0.0,0.0,49.5,0.0,0.0,41818.4,30040.75,60336.0,59055.66667,24696.66667
